symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
DVN,Devon Energy Corporation,Devon Energy Corporation,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DXCM,"DexCom, Inc.","DexCom, Inc.",Health Care,Health Care Equipment,"San Diego, California"
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",Energy,Oil & Gas Exploration & Production,"Midland, Texas"
DLR,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc.",Real Estate,Data Center REITs,"Austin, Texas"
DG,Dollar General Corporation,Dollar General Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee"
DLTR,"Dollar Tree, Inc.","Dollar Tree, Inc.",Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia"
D,"Dominion Energy, Inc.","Dominion Energy, Inc.",Utilities,Multi-Utilities,"Richmond, Virginia"
DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",Consumer Discretionary,Restaurants,"Ann Arbor, Michigan"
DASH,"DoorDash, Inc.","DoorDash, Inc.",Consumer Discretionary,Specialized Consumer Services,"San Francisco, California"
DOV,Dover Corporation,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois"
DOW,Dow Inc.,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan"
DHI,"D.R. Horton, Inc.","D.R. Horton, Inc.",Consumer Discretionary,Homebuilding,"Arlington, Texas"
DTE,DTE Energy Company,DTE Energy Company,Utilities,Multi-Utilities,"Detroit, Michigan"
DUK,Duke Energy Corporation (Holdin,Duke Energy Corporation,Utilities,Electric Utilities,"Charlotte, North Carolina"
DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",Materials,Specialty Chemicals,"Wilmington, Delaware"
EMN,Eastman Chemical Company,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee"
ETN,"Eaton Corporation, PLC",Eaton Corporation plc,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay Inc.,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California"
ECL,Ecolab Inc.,Ecolab Inc.,Materials,Specialty Chemicals,"Saint Paul, Minnesota"
EIX,Edison International,Edison International,Utilities,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,Health Care,Health Care Equipment,"Irvine, California"
EA,Electronic Arts Inc.,Electronic Arts Inc.,Communication Services,Interactive Home Entertainment,"Redwood City, California"
ELV,"Elevance Health, Inc.","Elevance Health, Inc.",Health Care,Managed Health Care,"Indianapolis, Indiana"
EME,"EMCOR Group, Inc.","EMCOR Group, Inc.",Industrials,Construction & Engineering,"Norwalk, Connecticut"
EMR,Emerson Electric Company,Emerson Electric Co.,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
ETR,Entergy Corporation,Entergy Corporation,Utilities,Electric Utilities,"New Orleans, Louisiana"
EOG,"EOG Resources, Inc.","EOG Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Houston, Texas"
