symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
CCOI,"Cogent Communications Holdings,","Cogent Communications Holdings, Inc.",Communication Services,Alternative Carriers,"Washington, D.C."
CCS,"Century Communities, Inc.","Century Communities, Inc.",Consumer Discretionary,Homebuilding,"Greenwood Village, Colorado"
CE,Celanese Corporation,Celanese Corporation,Materials,Specialty Chemicals,"Irving, Texas"
CENT,Central Garden & Pet Company,Central Garden & Pet Company,Consumer Staples,Household Products,"Walnut Creek, California"
CENTA,Central Garden & Pet Company,Central Garden & Pet Company,Consumer Staples,Household Products,"Walnut Creek, California"
CENX,Century Aluminum Company,Century Aluminum Company,Materials,Aluminum,"Chicago, Illinois"
CERT,"Certara, Inc.","Certara, Inc.",Health Care,Health Care Technology,"Princeton, New Jersey"
CEVA,"CEVA, Inc.","CEVA, Inc.",Information Technology,Semiconductors,"Rockville, Maryland"
CFFN,"Capitol Federal Financial, Inc.","Capitol Federal Financial, Inc.",Financials,Regional Banks,"Topeka, Kansas"
CHCO,City Holding Company,City Holding Company,Financials,Regional Banks,"Charleston, West Virginia"
CHEF,"The Chefs' Warehouse, Inc.","The Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,"Ridgefield, Connecticut"
CLB,Core Laboratories Inc.,Core Laboratories Inc.,Energy,Oil & Gas Equipment & Services,"Amsterdam, the Netherlands"
CLSK,"CleanSpark, Inc.","CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,"Henderson, Nevada"
CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",Communication Services,Movies & Entertainment,"Plano, Texas"
CNMD,CONMED Corporation,CONMED Corporation,Health Care,Health Care Equipment,"Largo, Florida"
CNR,"Core Natural Resources, Inc.","Core Natural Resources, Inc.",Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania"
CNS,Cohen & Steers Inc,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York"
CNXN,"PC Connection, Inc.","PC Connection, Inc.",Information Technology,Technology Distributors,"Merrimack, New Hampshire"
COHU,"Cohu, Inc.","Cohu, Inc.",Information Technology,Semiconductor Materials & Equipment,"Poway, California"
COLL,"Collegium Pharmaceutical, Inc.","Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,"Stoughton, Massachusetts"
CON,Concentra Group Holdings Parent,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,"Mechanicsburg, Pennsylvania"
CORT,Corcept Therapeutics Incorporat,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,"Menlo Park, California"
CPF,Central Pacific Financial Corp ,Central Pacific Financial Corp.,Financials,Regional Banks,"Honolulu, Hawaii"
CPK,Chesapeake Utilities Corporatio,Chesapeake Utilities Corporation,Utilities,Gas Utilities,"Dover, Delaware"
CPRX,"Catalyst Pharmaceuticals, Inc.","Catalyst Pharmaceuticals, Inc.",Health Care,Biotechnology,"Coral Gables, Florida"
CRC,California Resources Corporatio,California Resources Corporation,Energy,Oil & Gas Exploration & Production,"Los Angeles, California"
CRGY,Crescent Energy Company,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CRI,"Carter's, Inc.","Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia"
CRK,"Comstock Resources, Inc.","Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Frisco, Texas"
CRSR,"Corsair Gaming, Inc.","Corsair Gaming, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California"
CRVL,CorVel Corp.,CorVel Corporation,Health Care,Health Care Services,"Irvine, California"
CSGS,"CSG Systems International, Inc.","CSG Systems International, Inc.",Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado"
CSR,D/B/A Centerspace,Centerspace,Real Estate,Multi-Family Residential REITs,"Minot, North Dakota"
CSW,"CSW Industrials, Inc.","CSW Industrials, Inc.",Industrials,Industrial Conglomerates,"Dallas, Texas"
CTKB,"Cytek Biosciences, Inc.","Cytek Biosciences, Inc.",Health Care,Health Care Equipment,"Fremont, California"
CTRE,"CareTrust REIT, Inc.","CareTrust REIT, Inc.",Real Estate,Health Care REITs,"San Clemente, California"
CTS,CTS Corporation,CTS Corporation,Information Technology,Electronic Manufacturing Services,"Lisle, Illinois"
CUBI,"Customers Bancorp, Inc","Customers Bancorp, Inc.",Financials,Regional Banks,"Reading, Pennsylvania"
CURB,Curbline Properties Corp.,Curbline Properties Corp.,Real Estate,Retail REITs,"New York City, New York"
CVBF,CVB Financial Corporation,CVB Financial Corp.,Financials,Regional Banks,"Ontario, California"
CVCO,"Cavco Industries, Inc.","Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,"Phoenix, Arizona"
CVI,CVR Energy Inc.,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas"
CWEN,"Clearway Energy, Inc.","Clearway Energy, Inc.",Utilities,Renewable Electricity,"Princeton, New Jersey"
CWEN.A,N/A,N/A,Utilities,Renewable Electricity,"Princeton, New Jersey"
CWK,Cushman & Wakefield plc,Cushman & Wakefield plc,Real Estate,Real Estate Services,"Chicago, Illinois"
CWT,California Water Service Group,California Water Service Group,Utilities,Water Utilities,"San Jose, California"
CXM,"Sprinklr, Inc.","Sprinklr, Inc.",Information Technology,Application Software,"New York City, New York"
CXW,"CoreCivic, Inc.","CoreCivic, Inc.",Industrials,Diversified Support Services,"Brentwood, Tennessee"
CZR,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
DAN,Dana Incorporated,Dana Incorporated,Consumer Discretionary,Automotive Parts & Equipment,"Maumee, Ohio"
DCOM,"Dime Community Bancshares, Inc.","Dime Community Bancshares, Inc.",Financials,Regional Banks,"Hauppauge, New York"
DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",Real Estate,Office REITs,"Washington, D.C."
DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",Real Estate,Office REITs,"Santa Monica, California"
DFH,"Dream Finders Homes, Inc.","Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,"Jacksonville, Florida"
DFIN,"Donnelley Financial Solutions, ","Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois"
DGII,Digi International Inc.,Digi International Inc.,Information Technology,Communications Equipment,"Hopkins, Minnesota"
DIOD,Diodes Incorporated,Diodes Incorporated,Information Technology,Semiconductors,"Plano, Texas"
DLX,Deluxe Corporation,Deluxe Corporation,Industrials,Commercial Printing,"Minneapolis, Minnesota"
DNOW,DNOW Inc.,DNOW Inc.,Industrials,Trading Companies & Distributors,"Houston, Texas"
DOCN,"DigitalOcean Holdings, Inc.","DigitalOcean Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"New York City, New York"
DORM,"Dorman Products, Inc.","Dorman Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Colmar, Pennsylvania"
DRH,Diamondrock Hospitality Company,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
DV,"DoubleVerify Holdings, Inc.","DoubleVerify Holdings, Inc.",Communication Services,Advertising,"New York City, New York"
DVAX,Dynavax Technologies Corporatio,Dynavax Technologies Corporation,Health Care,Biotechnology,"Emeryville, California"
DXC,DXC Technology Company,DXC Technology Company,Information Technology,IT Consulting & Other Services,"Ashburn, Virginia"
DXPE,"DXP Enterprises, Inc.","DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,"Houston, Texas"
DY,"Dycom Industries, Inc.","Dycom Industries, Inc.",Industrials,Construction & Engineering,"Palm Beach Gardens, Florida"
EAT,"Brinker International, Inc.","Brinker International, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas"
ECG,"Everus Construction Group, Inc.","Everus Construction Group, Inc.",Industrials,Construction & Engineering,"Bismarck, North Dakota"
ECPG,Encore Capital Group Inc,"Encore Capital Group, Inc.",Financials,Consumer Finance,"San Diego, California"
EFC,Ellington Financial Inc.,Ellington Financial Inc.,Financials,Specialized Finance,"Greenwich, Connecticut"
EGBN,"Eagle Bancorp, Inc.","Eagle Bancorp, Inc.",Financials,Regional Banks,"Bethesda, Maryland"
EIG,Employers Holdings Inc,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,"Henderson, Nevada"
ELME,Elme Communities,Elme Communities,Real Estate,Diversified REITs,"Bethesda, Maryland"
EMBC,Embecta Corp.,Embecta Corp.,Health Care,Health Care Equipment,"Wilmington, Delaware"
ENOV,Enovis Corporation,Enovis Corporation,Health Care,Health Care Equipment,"Wilmington, Delaware"
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc.",Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
ENR,"Energizer Holdings, Inc.","Energizer Holdings, Inc.",Consumer Staples,Household Products,"St. Louis, Missouri"
ENVA,"Enova International, Inc.","Enova International, Inc.",Financials,Consumer Finance,"Chicago, Illinois"
EPAC,Enerpac Tool Group Corp.,Enerpac Tool Group Corp.,Industrials,Industrial Machinery & Supplies & Components,"Menomonee Falls, Wisconsin"
EPC,Edgewell Personal Care Company,Edgewell Personal Care Company,Consumer Staples,Household Products,"Shelton, Connecticut"
EPRT,Essential Properties Realty Tru,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,"Princeton, New Jersey"
ESE,ESCO Technologies Inc.,ESCO Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,"St. Louis, Missouri"
ESI,Element Solutions Inc.,Element Solutions Inc,Materials,Specialty Chemicals,"Fort Lauderdale, Florida"
ETD,Ethan Allen Interiors Inc.,Ethan Allen Interiors Inc.,Consumer Discretionary,Home Furnishings,"Danbury, Connecticut"
ETSY,"Etsy, Inc.","Etsy, Inc.",Consumer Discretionary,Broadline Retail,"New York City, New York"
EVTC,"Evertec, Inc.","EVERTEC, Inc.",Financials,Transaction & Payment Processing Services,"San Juan, Puerto Rico"
EXPI,"eXp World Holdings, Inc.","eXp World Holdings, Inc.",Real Estate,Real Estate Services,"Bellingham, Washington"
EXTR,"Extreme Networks, Inc.","Extreme Networks, Inc.",Information Technology,Communications Equipment,"Morrisville, North Carolina"
EYE,"National Vision Holdings, Inc.","National Vision Holdings, Inc.",Consumer Discretionary,Specialty Stores,"Duluth, Georgia"
EZPW,"EZCORP, Inc.","EZCORP, Inc.",Financials,Consumer Finance,"Austin, Texas"
FBK,FB Financial Corporation,FB Financial Corporation,Financials,Regional Banks,"Nashville, Tennessee"
FBNC,First Bancorp,First Bancorp,Financials,Regional Banks,"Southern Pines, North Carolina"
FBP,First BanCorp. New,First BanCorp.,Financials,Regional Banks,"San Juan, Puerto Rico"
FBRT,"Franklin BSP Realty Trust, Inc.","Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York"
FCF,First,First Commonwealth Financial Corporation,Financials,Regional Banks,"Indiana, Pennsylvania"
FCPT,"Four Corners Property Trust, In","Four Corners Property Trust, Inc.",Real Estate,Other Specialized REITs,"Mill Valley, California"
FDP,"Fresh Del Monte Produce, Inc.",Fresh Del Monte Produce Inc.,Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida"
FELE,"Franklin Electric Co., Inc.","Franklin Electric Co., Inc.",Industrials,Industrial Machinery & Supplies & Components,"Fort Wayne, Indiana"
FFBC,First Financial Bancorp.,First Financial Bancorp.,Financials,Regional Banks,"Cincinnati, Ohio"
FHB,"First Hawaiian, Inc.","First Hawaiian, Inc.",Financials,Regional Banks,"Honolulu, Hawaii"
FIZZ,National Beverage Corp.,National Beverage Corp.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Fort Lauderdale, Florida"
FMC,FMC Corporation,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
FORM,"FormFactor, Inc.","FormFactor, Inc.",Information Technology,Semiconductor Materials & Equipment,"Livermore, California"
FOXF,Fox Factory Holding Corp.,Fox Factory Holding Corp.,Consumer Discretionary,Automotive Parts & Equipment,"Duluth, Georgia"
FRPT,"Freshpet, Inc.","Freshpet, Inc.",Consumer Staples,Packaged Foods & Meats,"Bedminster, New Jersey"
FSS,Federal Signal Corporation,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment,"Oak Brook, Illinois"
FTDR,"frontdoor, inc.","Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,"Memphis, Tennessee"
FTRE,Fortrea Holdings Inc.,Fortrea Holdings Inc.,Health Care,Biotechnology,"Durham, North Carolina"
FUL,H. B. Fuller Company,H.B. Fuller Company,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota"
FULT,Fulton Financial Corporation,Fulton Financial Corporation,Financials,Regional Banks,"Lancaster, Pennsylvania"
FUN,Six Flags Entertainment Corpora,Six Flags Entertainment Corporation,Consumer Discretionary,Leisure Facilities,"Charlotte, North Carolina"
FWRD,Forward Air Corporation,Forward Air Corporation,Industrials,Air Freight & Logistics,"Greeneville, Tennessee"
GBX,"Greenbrier Companies, Inc. (The","The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Lake Oswego, Oregon"
GDEN,"Golden Entertainment, Inc.","Golden Entertainment, Inc.",Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada"
GDYN,"Grid Dynamics Holdings, Inc.","Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services,"San Ramon, California"
GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",Industrials,Environmental & Facilities Services,"Boca Raton, Florida"
GES,"Guess?, Inc.","Guess?, Inc.",Consumer Discretionary,Apparel Retail,"Los Angeles, California"
GFF,Griffon Corporation,Griffon Corporation,Industrials,Building Products,"New York City, New York"
GIII,"G-III Apparel Group, LTD.","G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
GKOS,Glaukos Corporation,Glaukos Corporation,Health Care,Health Care Equipment,"San Clemente, California"
GNL,"Global Net Lease, Inc.","Global Net Lease, Inc.",Real Estate,Diversified REITs,"New York City, New York"
GNW,Genworth Financial Inc,"Genworth Financial, Inc.",Financials,Multi-line Insurance,"Henrico County, Virginia"
GO,Grocery Outlet Holding Corp.,Grocery Outlet Holding Corp.,Consumer Staples,Food Retail,"Emeryville, California"
GOGO,Gogo Inc.,Gogo Inc.,Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado"
GOLF,Acushnet Holdings Corp.,Acushnet Holdings Corp.,Consumer Discretionary,Leisure Products,"Fairhaven, Massachusetts"
GPI,"Group 1 Automotive, Inc.","Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Houston, Texas"
GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,"Plano, Texas"
GSHD,"Goosehead Insurance, Inc.","Goosehead Insurance, Inc",Financials,Insurance Brokers,"Westlake, Texas"
GTES,Gates Industrial Corporation pl,Gates Industrial Corporation plc,Industrials,Industrial Machinery & Supplies & Components,"Denver, Colorado"
GTY,Getty Realty Corporation,Getty Realty Corp.,Real Estate,Retail REITs,"New York City, New York"
GVA,Granite Construction Incorporat,Granite Construction Incorporated,Industrials,Construction & Engineering,"Watsonville, California"
