Symbol,Short Name,Long Name,Type,Sector,Industry,Country
BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",share,Financials,Mortgage REITs,"New York City, New York"
CABO,"Cable One, Inc.","Cable One, Inc.",share,Communication Services,Cable & Satellite,"Phoenix, Arizona"
CAKE,The Cheesecake Factory Incorpor,The Cheesecake Factory Incorporated,share,Consumer Discretionary,Restaurants,"Calabasas, California"
CAL,"Caleres, Inc.","Caleres, Inc.",share,Consumer Discretionary,Apparel Retail,"Clayton, Missouri"
CALM,"Cal-Maine Foods, Inc.","Cal-Maine Foods, Inc.",share,Consumer Staples,Packaged Foods & Meats,"Jackson, Mississippi"
CALX,"Calix, Inc","Calix, Inc.",share,Information Technology,Application Software,"San Jose, California"
CARG,"CarGurus, Inc.","CarGurus, Inc.",share,Communication Services,Interactive Media & Services,"Cambridge, Massachusetts"
CARS,Cars.com Inc.,Cars.com Inc.,share,Communication Services,Interactive Media & Services,"Chicago, Illinois"
CASH,"Pathward Financial, Inc.","Pathward Financial, Inc.",share,Financials,Regional Banks,"Sioux Falls, South Dakota"
CATY,Cathay General Bancorp,Cathay General Bancorp,share,Financials,Regional Banks,"Los Angeles, California"
CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",share,Consumer Discretionary,Restaurants,"Lebanon, Tennessee"
CBU,"Community Financial System, Inc","Community Financial System, Inc.",share,Financials,Regional Banks,"DeWitt, New York"
CC,Chemours Company (The),The Chemours Company,share,Materials,Diversified Chemicals,"Wilmington, Delaware"
CCOI,"Cogent Communications Holdings,","Cogent Communications Holdings, Inc.",share,Communication Services,Alternative Carriers,"Washington, D.C."
CCS,"Century Communities, Inc.","Century Communities, Inc.",share,Consumer Discretionary,Homebuilding,"Greenwood Village, Colorado"
CE,Celanese Corporation,Celanese Corporation,share,Materials,Specialty Chemicals,"Irving, Texas"
CENT,Central Garden & Pet Company,Central Garden & Pet Company,share,Consumer Staples,Household Products,"Walnut Creek, California"
CENTA,Central Garden & Pet Company,Central Garden & Pet Company,share,Consumer Staples,Household Products,"Walnut Creek, California"
